Gary Payton,27,81,81,39.0,7.6,15.8,.484,1.2,3.7,.328,6.4,12.1,.532,.523,2.8,3.8,.748,1.3,2.9,4.2,7.5,2.9,0.2,3.2,2.7,19.3
Detlef Schrempf,33,63,60,34.9,5.7,11.7,.486,1.2,2.8,.408,4.6,8.9,.512,.536,4.6,5.9,.776,1.2,4.0,5.2,4.4,0.9,0.1,2.3,2.8,17.1
Hersey Hawkins,29,82,82,34.4,5.4,11.4,.473,1.8,4.6,.384,3.6,6.8,.534,.551,3.0,3.5,.874,1.0,2.6,3.6,2.7,1.8,0.2,2.0,2.1,15.6
Shawn Kemp,26,79,76,33.3,6.7,11.9,.561,0.1,0.2,.417,6.6,11.7,.563,.564,6.2,8.4,.742,3.5,7.9,11.4,2.2,1.2,1.6,4.0,3.8,19.6
Sam Perkins,34,82,20,26.5,4.0,9.7,.408,1.6,4.4,.355,2.4,5.3,.452,.489,2.3,2.9,.793,1.2,3.2,4.5,1.5,1.0,0.6,1.0,2.1,11.8
Vincent Askew,29,69,2,25.0,3.1,6.3,.493,0.4,1.2,.337,2.7,5.1,.531,.526,1.8,2.3,.764,0.9,2.2,3.2,2.4,0.7,0.2,1.4,2.6,8.4
Nate McMillan,31,55,14,22.9,1.8,4.3,.420,0.8,2.2,.380,1.0,2.1,.462,.517,0.5,0.7,.707,0.7,3.1,3.8,3.6,1.7,0.3,1.4,2.6,5.0
Ervin Johnson,28,81,60,18.8,2.2,4.3,.511,0.0,0.0,.333,2.2,4.3,.513,.513,1.0,1.6,.669,1.6,3.8,5.3,0.6,0.5,1.6,1.2,3.0,5.5
Frank Brickowski,36,63,8,15.7,2.0,4.0,.488,0.5,1.3,.405,1.4,2.7,.526,.552,1.0,1.4,.709,0.4,2.0,2.4,0.9,0.4,0.1,1.2,2.9,5.4
David Wingate,32,60,3,11.6,1.5,3.5,.415,0.3,0.6,.441,1.2,3.0,.410,.450,0.5,0.7,.780,0.3,0.7,0.9,1.0,0.3,0.1,0.7,1.1,3.7
Eric Snow,22,43,1,9.0,1.0,2.3,.420,0.0,0.2,.200,0.9,2.1,.444,.430,0.7,1.1,.592,0.2,0.8,1.0,1.7,0.7,0.0,0.9,1.2,2.7
Steve Scheffler,28,35,2,5.2,0.7,1.3,.533,0.0,0.1,.200,0.7,1.1,.575,.544,0.3,0.5,.474,0.4,0.5,0.9,0.1,0.2,0.1,0.2,0.7,1.7
Sherell Ford,23,28,1,5.0,1.1,2.9,.375,0.1,0.9,.160,0.9,2.0,.473,.400,0.9,1.2,.765,0.4,0.4,0.9,0.2,0.3,0.0,0.2,1.0,3.2
